tweet_id,term,pos,pos_fre,neg_fre,label
0,asyik,adj,4,1,1
0,juara,n,1,0,1
1,tinggal,v,2,1,0
1,daerah,n,4,2,0
1,jelek,adj,1,2,0
1,suka,adj,3,1,0
1,hilang,v,0,10,0
2,cepat,adj,9,3,1
2,kilat,n,1,1,1
3,daerah,n,4,2,0
3,lemah,adj,4,13,0
3,mohon,v,1,0,0
4,boros,adj,0,1,1
5,jelek,adj,1,2,0
5,bagus,adj,12,0,0
6,cerita,n,0,1,1
7,ganggu,v,0,3,0
7,wilayah,n,3,1,0
8,drama,n,3,0,1
9,tolong,v,5,0,0
9,baik,adj,12,0,0
9,parah,adj,1,4,0
11,buruk,adj,0,18,0
11,pas,n,1,0,0
11,mati,v,1,4,0
11,lampu,n,5,2,0
12,keren,adj,1,0,1
12,imbang,adj,1,0,1
12,kuat,adj,17,8,1
12,stabil,adj,1,3,1
13,parah,adj,1,4,0
14,ya,l,2,0,1
14,tinggal,v,2,1,1
14,percaya,v,5,1,1
15,lambat,adj,0,3,0
16,aktif,adj,6,2,1
17,wilayah,n,3,1,0
17,ya,l,2,0,0
18,pergi,v,1,4,1
18,kampung,n,0,1,1
19,parah,adj,1,4,0
19,main,v,3,0,0
19,susah,adj,2,10,0
20,lagu,n,2,0,1
20,habis,v,2,0,1
20,habis,v,2,0,1
20,bingung,adj,0,6,1
21,tolong,v,5,0,0
21,baca,v,1,0,0
21,baik,adj,12,0,0
21,lemah,adj,4,13,0
22,murah,adj,2,4,1
22,berat,adj,5,9,1
23,habis,v,2,0,0
23,mahal,adj,3,1,0
24,mahal,adj,3,1,1
25,harga,n,1,0,0
25,mahal,adj,3,1,0
25,mahal,adj,3,1,0
26,keren,adj,1,0,1
26,stabil,adj,1,3,1
26,arti,n,1,0,1
26,harga,n,1,0,1
26,banding,n,1,0,1
26,kualitas,n,3,0,1
26,bicara,n,0,2,1
26,sayang,adj,3,1,1
27,mahal,adj,3,1,0
28,mahal,adj,3,1,1
28,ganggu,v,0,3,1
28,kali,n,1,0,1
28,ya,l,2,0,1
29,mahal,adj,3,1,0
29,tiket,n,1,0,0
30,mahal,adj,3,1,1
30,sesuai,n,2,0,1
30,kualitas,n,3,0,1
30,bagus,adj,12,0,1
30,murah,adj,2,4,1
30,kualitas,n,3,0,1
31,daerah,n,4,2,0
31,kalah,v,0,7,0
31,harga,n,1,0,0
31,mahal,adj,3,1,0
32,murah,adj,2,4,1
33,jelek,adj,1,2,0
33,parah,adj,1,4,0
34,stabil,adj,1,3,1
34,murah,adj,2,4,1
34,luas,adj,5,2,1
35,berkat,n,1,1,0
35,emosi,n,2,0,0
35,mahal,adj,3,1,0
36,bagus,adj,12,0,1
37,mahal,adj,3,1,0
37,ya,l,2,0,0
38,daerah,n,4,2,1
38,susah,adj,2,10,1
38,mahal,adj,3,1,1
38,mudah,adj,5,4,1
38,jadi,v,1,1,1
38,harga,n,1,0,1
38,turun,v,1,6,1
39,tinggal,v,2,1,0
39,rendah,adj,1,18,0
40,lupa,v,1,1,1
40,baik,adj,12,0,1
41,hilang,v,0,10,0
41,lambat,adj,0,3,0
41,ganggu,v,0,3,0
41,daerah,n,4,2,0
42,sombong,adj,5,6,1
42,lancar,adj,2,2,1
42,harga,n,1,0,1
42,murah,adj,2,4,1
43,hari,n,4,0,1
44,ganggu,v,0,3,0
44,sulit,adj,3,6,0
45,bagus,adj,12,0,1
46,turun,v,1,6,0
46,ganggu,v,0,3,0
47,bagus,adj,12,0,1
47,masak,adj,2,0,1
48,hilang,v,0,10,0
48,mubazir,adj,0,1,0
48,kasih,n,4,0,0
48,pahit,adj,1,7,0
48,kuning,n,0,1,0
49,bonus,n,1,0,1
49,hasil,n,3,2,1
49,tahan,adj,2,3,1
50,lambat,adj,0,3,0
50,bawah,n,0,1,0
51,ya,l,2,0,1
52,daerah,n,4,2,0
52,jelek,adj,1,2,0
53,jujur,adj,11,5,1
53,bagus,adj,12,0,1
53,masuk,v,1,0,1
53,akal,n,3,1,1
53,wilayah,n,3,1,1
53,banding,n,1,0,1
54,bagus,adj,12,0,0
54,daerah,n,4,2,0
55,cepat,adj,9,3,1
55,stabil,adj,1,3,1
56,malam,n,0,1,0
56,jelek,adj,1,2,0
57,pas,n,1,0,1
57,stabil,adj,1,3,1
57,susah,adj,2,10,1
60,turun,v,1,6,0
60,kaya,adj,2,2,0
60,baik,adj,12,0,0
61,jadi,v,1,1,1
61,lancar,adj,2,2,1
62,mahal,adj,3,1,0
62,lambat,adj,0,3,0
62,lambat,adj,0,3,0
62,sesuai,n,2,0,0
62,kecewa,adj,0,3,0
62,berat,adj,5,9,0
62,sesuai,n,2,0,0
63,hari,n,4,0,1
64,mahal,adj,3,1,0
64,rata,adj,4,1,0
64,jalan,n,1,1,0
64,lambat,adj,0,3,0
65,kena,v,0,1,1
66,dasar,n,3,3,0
66,goblok,adj,0,2,0
66,daerah,n,4,2,0
66,rendah,adj,1,18,0
66,lambat,adj,0,3,0
66,mending,adj,2,0,0
67,murah,adj,2,4,1
68,jelek,adj,1,2,0
68,sombong,adj,5,6,0
69,hasil,n,3,2,1
70,sayang,adj,3,1,0
70,rata,adj,4,1,0
71,sadis,adj,1,0,1
71,kencang,adj,4,3,1
72,lambat,adj,0,3,0
72,mahal,adj,3,1,0
73,bagus,adj,12,0,1
74,daerah,n,4,2,0
74,stabil,adj,1,3,0
