tweet_id,term,pos,pos_fre,neg_fre,label
0,asyik,adj,4,1,1
0,juara,n,1,0,1
1,tinggal,v,2,1,0
1,daerah,n,4,2,0
1,jelek,adj,1,2,0
1,suka,adj,3,1,0
1,hilang,v,0,10,0
2,cepat,adj,9,3,1
2,kilat,n,1,1,1
3,cerita,n,0,1,1
4,boros,adj,0,1,1
5,jelek,adj,1,2,0
5,bagus,adj,12,0,0
6,drama,n,3,0,1
8,ganggu,v,0,3,0
8,wilayah,n,3,1,0
9,tolong,v,5,0,0
9,baik,adj,12,0,0
9,parah,adj,1,4,0
10,buruk,adj,0,18,0
10,pas,n,1,0,0
10,mati,v,1,4,0
10,lampu,n,5,2,0
11,parah,adj,1,4,0
12,keren,adj,1,0,1
12,imbang,adj,1,0,1
12,kuat,adj,17,8,1
12,stabil,adj,1,3,1
13,ya,l,2,0,1
13,tinggal,v,2,1,1
13,percaya,v,5,1,1
14,lambat,adj,0,3,0
15,aktif,adj,6,2,1
16,pergi,v,1,4,1
16,kampung,n,0,1,1
17,parah,adj,1,4,0
17,main,v,3,0,0
17,susah,adj,2,10,0
18,lagu,n,2,0,1
18,habis,v,2,0,1
18,habis,v,2,0,1
18,bingung,adj,0,6,1
19,tolong,v,5,0,0
19,baca,v,1,0,0
19,baik,adj,12,0,0
19,lemah,adj,4,13,0
20,daerah,n,4,2,0
20,lemah,adj,4,13,0
20,mohon,v,1,0,0
21,wilayah,n,3,1,0
21,ya,l,2,0,0
