,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,asyik,adj,5,2,1,-2.492481584704192,0.6960672160137809
1,1,0,juara,n,2,1,1,-2.5920172582551064,0.6427448337967481
2,2,1,tinggal,v,3,2,0,-3.1730647089728796,0.3314711652907798
3,3,1,daerah,n,5,3,0,-3.266174113364361,0.2815914078948223
4,4,1,jelek,adj,2,3,0,-2.5881022082517235,0.6448421702112386
5,5,1,suka,adj,4,2,0,-3.4360991148066735,0.1905606693475812
6,6,1,hilang,v,1,11,0,-1.9766674961693762,0.9723946371339562
7,7,2,cepat,adj,10,4,1,-2.492481584704192,0.6960672160137809
8,8,2,kilat,n,2,2,1,-3.0070547575339504,0.42040456742353016
9,9,3,cerita,n,1,2,1,-3.5920172582551064,0.10703356250307139
10,10,4,boros,adj,1,2,1,-3.5920172582551064,0.10703356250307139
11,11,5,jelek,adj,2,3,0,-2.5881022082517235,0.6448421702112386
12,12,5,bagus,adj,13,1,0,-5.658491536143122,-1.0
13,13,6,drama,n,4,1,1,-2.3289828524213125,0.7836553297399467
14,14,8,ganggu,v,1,4,0,-2.1730647089728796,0.8671824365844565
15,15,8,wilayah,n,4,2,0,-3.4360991148066735,0.1905606693475812
16,16,9,tolong,v,6,1,0,-4.658491536143122,-0.4642887287063232
17,17,9,baik,adj,13,1,0,-5.658491536143122,-1.0
18,18,9,parah,adj,2,5,0,-2.336563441255759,0.7795943228582907
19,19,10,buruk,adj,1,19,0,-1.925137195529294,1.0
20,20,10,pas,n,2,1,0,-3.4360991148066735,0.1905606693475812
21,21,10,mati,v,2,5,0,-2.336563441255759,0.7795943228582907
22,22,10,lampu,n,6,3,0,-3.4360991148066735,0.1905606693475812
23,23,11,parah,adj,2,5,0,-2.336563441255759,0.7795943228582907
24,24,12,keren,adj,2,1,1,-2.5920172582551064,0.6427448337967481
25,25,12,imbang,adj,2,1,1,-2.5920172582551064,0.6427448337967481
26,26,12,kuat,adj,18,9,1,-2.5920172582551064,0.6427448337967481
27,27,12,stabil,adj,2,4,1,-3.5920172582551064,0.10703356250307139
28,28,13,ya,l,3,1,1,-2.4220922568127943,0.7337755723439889
29,29,13,tinggal,v,3,2,1,-2.7440203517001565,0.5613150633667288
30,30,13,percaya,v,6,2,1,-2.4220922568127943,0.7337755723439889
31,31,14,lambat,adj,1,4,0,-2.1730647089728796,0.8671824365844565
32,32,15,aktif,adj,7,3,1,-2.521627930363709,0.6804531901269562
33,33,16,pergi,v,2,5,1,-3.8144096795915545,-0.012104564257156336
34,34,16,kampung,n,1,2,1,-3.5920172582551064,0.10703356250307139
35,35,17,parah,adj,2,5,0,-2.336563441255759,0.7795943228582907
36,36,17,main,v,4,1,0,-4.17306470897288,-0.204240106002897
37,37,17,susah,adj,3,11,0,-2.1990599175058243,0.8532565103737286
38,38,18,lagu,n,3,1,1,-2.4220922568127943,0.7337755723439889
39,39,18,habis,v,3,1,1,-2.4220922568127943,0.7337755723439889
40,40,18,habis,v,3,1,1,-2.4220922568127943,0.7337755723439889
41,41,18,bingung,adj,1,7,1,-5.00705475753395,-0.6510179751638234
42,42,19,tolong,v,6,1,0,-4.658491536143122,-0.4642887287063232
43,43,19,baca,v,2,1,0,-3.4360991148066735,0.1905606693475812
44,44,19,baik,adj,13,1,0,-5.658491536143122,-1.0
45,45,19,lemah,adj,5,14,0,-2.2917092054714985,0.8036232425331833
46,46,20,daerah,n,5,3,0,-3.266174113364361,0.2815914078948223
47,47,20,lemah,adj,5,14,0,-2.2917092054714985,0.8036232425331833
48,48,20,mohon,v,2,1,0,-3.4360991148066735,0.1905606693475812
49,49,21,wilayah,n,4,2,0,-3.4360991148066735,0.1905606693475812
50,50,21,ya,l,3,1,0,-3.8511366140855174,-0.03177959702563682
