,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,rumit,adj,4,7,0,-2.7207894466637073,0.6903181094560285
1,1,1,bintang,n,2,1,1,-2.747046748946285,0.6762517766694864
2,2,1,lancar,adj,3,3,1,-3.162084248225129,0.4539115102962683
3,3,2,sedih,n,1,3,0,-2.483750249362858,0.8173026791884992
4,4,2,kolot,adj,2,5,0,-2.554139577254256,0.7795943228582907
5,5,3,suka,adj,4,2,1,-2.747046748946285,0.6762517766694864
6,6,3,agam,adj,3,3,1,-3.162084248225129,0.4539115102962683
7,7,3,harga,n,2,1,1,-2.747046748946285,0.6762517766694864
8,8,4,percaya,v,6,2,1,-2.577121747503973,0.7672825152167273
9,9,5,kampung,n,1,2,0,-2.65367525080517,0.7262719406412581
10,10,5,waras,adj,8,2,0,-4.390640844971377,-0.204240106002897
11,11,6,luas,adj,6,3,1,-2.747046748946285,0.6762517766694864
12,12,7,buruk,adj,1,19,0,-2.142713331527791,1.0
13,13,7,percaya,v,6,2,0,-4.068712750084014,-0.031779597025636486
14,14,8,sakit,adj,1,7,0,-2.26135782802641,0.9364408059487268
15,15,8,ganggu,v,1,4,0,-2.3906408449713763,0.8671824365844569
16,16,9,nyaman,adj,4,2,1,-2.747046748946285,0.6762517766694864
17,17,10,kawasan,n,5,3,1,-2.840156153337767,0.6263720192735287
18,18,11,luas,adj,6,3,1,-2.747046748946285,0.6762517766694864
19,19,11,maju,v,6,1,1,-2.384476669561577,0.8704846548297176
20,20,12,kecewa,adj,1,4,0,-2.3906408449713763,0.8671824365844569
21,21,13,jatuh,v,4,13,1,-4.2495470894754686,-0.12865459087458475
22,22,13,stabil,adj,2,4,1,-3.747046748946285,0.14054050537580953
23,23,14,pakar,n,4,1,1,-2.484012343112491,0.817162272612685
24,24,14,unggul,adj,9,1,1,-2.314087341670179,0.9081930111599259
25,25,15,buruk,adj,1,19,0,-2.142713331527791,1.0
26,26,16,pimpin,v,2,1,1,-2.747046748946285,0.6762517766694864
27,27,17,kenal,v,4,1,0,-4.390640844971377,-0.204240106002897
28,28,17,payah,adj,2,8,0,-2.3906408449713763,0.8671824365844569
29,29,18,usang,adj,1,6,0,-2.291105171420462,0.9205048188014895
30,30,18,payah,adj,2,8,0,-2.3906408449713763,0.8671824365844569
31,31,19,buruk,adj,1,19,0,-2.142713331527791,1.0
32,32,19,payah,adj,2,8,0,-2.3906408449713763,0.8671824365844569
33,33,20,lengkap,adj,4,1,1,-2.484012343112491,0.817162272612685
34,34,20,baik,adj,13,1,1,-2.268999452141641,0.9323471017792078
35,35,20,suka,adj,4,2,1,-2.747046748946285,0.6762517766694864
36,36,21,buruk,adj,1,19,0,-2.142713331527791,1.0
37,37,21,senang,adj,8,4,0,-3.65367525080517,0.19056066934758142
38,38,21,jamin,v,2,2,0,-3.068712750084014,0.5039316742680402
39,39,22,emosi,n,3,1,0,-4.068712750084014,-0.031779597025636486
40,40,23,mati,v,2,5,0,-2.554139577254256,0.7795943228582907
41,41,23,suram,adj,5,12,0,-2.5712130906131976,0.7704478493113227
42,42,23,layak,adj,9,1,0,-5.390640844971377,-0.7399513772965738
43,43,24,tajam,adj,12,7,1,-2.8250492609475586,0.6344649518011838
44,44,24,mantap,adj,3,3,1,-3.162084248225129,0.4539115102962683
45,45,24,halus,adj,16,6,1,-2.6215158668624263,0.7435000850972469
46,46,24,pokok,n,3,2,1,-2.899049842391335,0.5948220062394671
47,47,25,daerah,n,5,3,1,-2.840156153337767,0.6263720192735287
48,48,25,asing,adj,3,6,1,-3.747046748946285,0.14054050537580953
49,49,26,nasib,n,5,1,0,-4.65367525080517,-0.34515060194609537
50,50,26,parah,adj,2,5,0,-2.554139577254256,0.7795943228582907
51,51,27,sesuai,n,3,1,1,-2.577121747503973,0.7672825152167273
52,52,27,perlu,adv,2,2,1,-3.162084248225129,0.4539115102962683
53,53,28,kualitas,n,4,1,0,-4.390640844971377,-0.204240106002897
54,54,28,layak,adj,9,1,0,-5.390640844971377,-0.7399513772965738
55,55,28,baik,adj,13,1,0,-5.876067672141619,-1.0
56,56,29,murah,adj,3,5,1,-3.577121747503973,0.2315712439230504
57,57,29,mutu,n,4,1,1,-2.484012343112491,0.817162272612685
58,58,30,hebat,adj,15,6,1,-2.647511075395371,0.729574158886519
59,59,30,harga,n,2,1,1,-2.747046748946285,0.6762517766694864
60,60,30,murah,adj,3,5,1,-3.577121747503973,0.2315712439230504
61,61,30,juara,n,2,1,1,-2.747046748946285,0.6762517766694864
62,62,31,sesuai,n,3,1,1,-2.577121747503973,0.7672825152167273
63,63,31,mantap,adj,3,3,1,-3.162084248225129,0.4539115102962683
64,64,32,jelek,adj,2,3,0,-2.8056783442502207,0.6448421702112386
65,65,32,parah,adj,2,5,0,-2.554139577254256,0.7795943228582907
66,66,32,main,v,4,1,0,-4.390640844971377,-0.204240106002897
67,67,33,murah,adj,3,5,1,-3.577121747503973,0.2315712439230504
68,68,33,tajam,adj,12,7,1,-2.8250492609475586,0.6344649518011838
69,69,33,juara,n,2,1,1,-2.747046748946285,0.6762517766694864
70,70,34,hemat,adj,4,2,1,-2.747046748946285,0.6762517766694864
71,71,35,asa,n,2,2,0,-3.068712750084014,0.5039316742680402
72,72,35,ganggu,v,1,4,0,-2.3906408449713763,0.8671824365844569
73,73,36,percaya,v,6,2,0,-4.068712750084014,-0.031779597025636486
74,74,36,khianat,n,3,1,0,-4.068712750084014,-0.031779597025636486
75,75,37,gembira,adj,11,8,1,-2.9505801430314174,0.5672166433734231
76,76,37,jaga,v,5,5,1,-3.162084248225129,0.4539115102962683
77,77,38,pelit,adj,1,2,0,-2.65367525080517,0.7262719406412581
78,78,38,cukup,adj,3,3,0,-3.068712750084014,0.5039316742680402
79,79,39,kolot,adj,2,5,0,-2.554139577254256,0.7795943228582907
80,80,39,bagus,adj,13,1,0,-5.876067672141619,-1.0
81,81,39,kuat,adj,18,9,0,-3.65367525080517,0.19056066934758142
82,82,40,rumit,adj,4,7,0,-2.7207894466637073,0.6903181094560285
83,83,41,bintang,n,2,1,1,-2.747046748946285,0.6762517766694864
84,84,41,lancar,adj,3,3,1,-3.162084248225129,0.4539115102962683
85,85,42,sedih,n,1,3,0,-2.483750249362858,0.8173026791884992
86,86,42,kolot,adj,2,5,0,-2.554139577254256,0.7795943228582907
87,87,43,suka,adj,4,2,1,-2.747046748946285,0.6762517766694864
