,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,murah,adj,3,5,1,-3.214738848793013,-0.23899385698504183
1,1,0,berat,adj,6,10,1,-3.214738848793013,-0.23899385698504183
2,2,1,mahal,adj,4,2,1,-2.384663850235325,0.4575534179833034
3,3,2,keren,adj,2,1,1,-2.384663850235325,0.4575534179833034
4,4,2,stabil,adj,2,4,1,-3.384663850235325,-0.38158434207288894
5,5,2,arti,n,2,1,1,-2.384663850235325,0.4575534179833034
6,6,2,harga,n,2,1,1,-2.384663850235325,0.4575534179833034
7,7,2,banding,n,2,1,1,-2.384663850235325,0.4575534179833034
8,8,2,kualitas,n,4,1,1,-2.121629444401531,0.6782755201123847
9,9,2,bicara,n,1,3,1,-3.7997013495141685,-0.7298579795570612
10,10,2,sayang,adj,4,2,1,-2.384663850235325,0.4575534179833034
11,11,3,habis,v,3,1,0,-3.593840652067609,-0.5571124950181496
12,12,3,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
13,13,4,mahal,adj,4,2,1,-2.384663850235325,0.4575534179833034
14,14,4,ganggu,v,1,4,1,-4.121629444401531,-1.0
15,15,4,kali,n,2,1,1,-2.384663850235325,0.4575534179833034
16,16,4,ya,l,3,1,1,-2.214738848793013,0.6001439030711506
17,17,5,harga,n,2,1,0,-3.178803152788765,-0.20883885753397702
18,18,5,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
19,19,5,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
20,20,6,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
21,21,7,mahal,adj,4,2,1,-2.384663850235325,0.4575534179833034
22,22,7,sesuai,n,3,1,1,-2.214738848793013,0.6001439030711506
23,23,7,kualitas,n,4,1,1,-2.121629444401531,0.6782755201123847
24,24,7,bagus,adj,13,1,1,-1.9066165534306807,0.8587009558248706
25,25,7,murah,adj,3,5,1,-3.214738848793013,-0.23899385698504183
26,26,7,kualitas,n,4,1,1,-2.121629444401531,0.6782755201123847
27,27,8,murah,adj,3,5,1,-3.214738848793013,-0.23899385698504183
28,28,9,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
29,29,9,tiket,n,2,1,0,-3.178803152788765,-0.20883885753397702
30,30,10,daerah,n,5,3,0,-3.008878151346453,-0.06624837244612991
31,31,10,kalah,v,1,8,0,-1.7637656535099213,0.978572540006388
32,32,10,harga,n,2,1,0,-3.178803152788765,-0.20883885753397702
33,33,10,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
34,34,11,bagus,adj,13,1,1,-1.9066165534306807,0.8587009558248706
35,35,12,daerah,n,5,3,1,-2.4777732546268063,0.3794218009420698
36,36,12,susah,adj,3,11,1,-4.022093770850617,-0.9164758578508015
37,37,12,mahal,adj,4,2,1,-2.384663850235325,0.4575534179833034
38,38,12,mudah,adj,6,5,1,-2.6741704674303097,0.21461748370885858
39,39,12,jadi,v,2,2,1,-2.7997013495141685,0.10927978049913123
40,40,12,harga,n,2,1,1,-2.384663850235325,0.4575534179833034
41,41,12,turun,v,2,7,1,-3.969626350956481,-0.8724484646449087
42,42,13,stabil,adj,2,4,1,-3.384663850235325,-0.38158434207288894
43,43,13,murah,adj,3,5,1,-3.214738848793013,-0.23899385698504183
44,44,13,luas,adj,6,3,1,-2.384663850235325,0.4575534179833034
45,45,14,jelek,adj,2,3,0,-2.330806246233815,0.5027473671671241
46,46,14,parah,adj,2,5,0,-2.079267479237851,0.7138230446714138
47,47,15,berkat,n,2,2,0,-2.593840652067609,0.2820252650380428
48,48,15,emosi,n,3,1,0,-3.593840652067609,-0.5571124950181496
49,49,15,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
50,50,16,mahal,adj,4,2,0,-3.178803152788765,-0.20883885753397702
51,51,16,ya,l,3,1,0,-3.593840652067609,-0.5571124950181496
52,52,17,tinggal,v,3,2,0,-2.915768746954971,0.011883244595104259
53,53,17,rendah,adj,2,19,0,-1.7382305614027838,1.0
