,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,lupa,v,2,2,1,-2.9028437625458166,0.4647456415156368
1,1,0,baik,adj,13,1,1,-2.0097589664623285,0.9431812329985763
2,2,1,hilang,v,1,11,0,-1.955226971895865,0.9723946371339565
3,3,1,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
4,4,1,ganggu,v,1,4,0,-2.1516241846993687,0.8671824365844565
5,5,1,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
6,6,2,sombong,adj,6,7,1,-3.0183209799657527,0.4028831945661464
7,7,2,lancar,adj,3,3,1,-2.9028437625458166,0.4647456415156368
8,8,2,harga,n,2,1,1,-2.4878062632669726,0.6870859078888547
9,9,2,murah,adj,3,5,1,-3.3178812618246605,0.2424053751424189
10,10,3,hari,n,5,1,1,-2.1658781683796104,0.8595464168661149
11,11,4,ganggu,v,1,4,0,-2.1516241846993687,0.8671824365844565
12,12,4,sulit,adj,4,7,0,-2.481772786391699,0.6903181094560285
13,13,5,turun,v,2,7,0,-2.1922661691967145,0.8454100674014855
14,14,5,ganggu,v,1,4,0,-2.1516241846993687,0.8671824365844565
15,15,6,bagus,adj,13,1,1,-2.0097589664623285,0.9431812329985763
16,16,7,bagus,adj,13,1,1,-2.0097589664623285,0.9431812329985763
17,17,7,masak,adj,3,1,1,-2.3178812618246605,0.7781166464360956
18,18,8,hilang,v,1,11,0,-1.955226971895865,0.9723946371339565
19,19,8,mubazir,adj,1,2,0,-2.4146585905331626,0.7262719406412579
20,20,8,kasih,n,5,1,0,-4.414658590533162,-0.34515060194609537
21,21,8,pahit,adj,2,8,0,-2.1516241846993687,0.8671824365844565
22,22,8,kuning,n,1,2,0,-2.4146585905331626,0.7262719406412579
23,23,9,bonus,n,2,1,1,-2.4878062632669726,0.6870859078888547
24,24,9,hasil,n,4,3,1,-2.7101986846034207,0.5679477811286271
25,25,9,tahan,adj,3,4,1,-3.1252361838822647,0.3456075147554092
26,26,10,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
27,27,10,bawah,n,1,2,0,-2.4146585905331626,0.7262719406412579
28,28,11,ya,l,3,1,1,-2.3178812618246605,0.7781166464360956
29,29,12,jujur,adj,12,6,1,-2.4878062632669726,0.6870859078888547
30,30,12,bagus,adj,13,1,1,-2.0097589664623285,0.9431812329985763
31,31,12,masuk,v,2,1,1,-2.4878062632669726,0.6870859078888547
32,32,12,akal,n,4,2,1,-2.4878062632669726,0.6870859078888547
33,33,12,wilayah,n,4,2,1,-2.4878062632669726,0.6870859078888547
34,34,12,banding,n,2,1,1,-2.4878062632669726,0.6870859078888547
35,35,13,cepat,adj,10,4,1,-2.3882705897160585,0.7404082901058873
36,36,13,stabil,adj,2,4,1,-3.4878062632669726,0.15137463659517802
37,37,14,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
38,38,14,jelek,adj,2,3,0,-2.5666616839782126,0.6448421702112386
39,39,15,pas,n,2,1,1,-2.4878062632669726,0.6870859078888547
40,40,15,stabil,adj,2,4,1,-3.4878062632669726,0.15137463659517802
41,41,15,susah,adj,3,11,1,-4.125236183882264,-0.1901037565382674
42,42,18,turun,v,2,7,0,-2.1922661691967145,0.8454100674014855
43,43,18,kaya,adj,3,3,0,-2.829696089812006,0.5039316742680402
44,44,18,baik,adj,13,1,0,-5.637051011869611,-1.0
45,45,19,jadi,v,2,2,1,-2.9028437625458166,0.4647456415156368
46,46,19,lancar,adj,3,3,1,-2.9028437625458166,0.4647456415156368
47,47,20,mahal,adj,4,2,0,-3.4146585905331626,0.1905606693475812
48,48,20,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
49,49,20,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
50,50,20,sesuai,n,3,1,0,-3.829696089812006,-0.031779597025636486
51,51,20,kecewa,adj,1,4,0,-2.1516241846993687,0.8671824365844565
52,52,20,berat,adj,6,10,0,-2.507767994924644,0.6763921832453004
53,53,20,sesuai,n,3,1,0,-3.829696089812006,-0.031779597025636486
54,54,21,mahal,adj,4,2,0,-3.4146585905331626,0.1905606693475812
55,55,21,rata,adj,5,2,0,-3.63705101186961,0.07142254258735381
56,56,21,jalan,n,2,2,0,-2.829696089812006,0.5039316742680402
57,57,21,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
58,58,22,dasar,n,4,4,0,-2.829696089812006,0.5039316742680402
59,59,22,goblok,adj,1,3,0,-2.24473358909085,0.8173026791884992
60,60,22,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
61,61,22,rendah,adj,2,19,0,-1.974085999147181,0.9622916436697917
62,62,22,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
63,63,22,mending,adj,3,1,0,-3.829696089812006,-0.031779597025636486
64,64,23,kena,v,1,2,1,-3.4878062632669726,0.15137463659517802
65,65,24,jelek,adj,2,3,0,-2.5666616839782126,0.6448421702112386
66,66,24,sombong,adj,6,7,0,-2.722780885895494,0.5612073540787776
67,67,25,kurang,adv,2,9,0,-2.119202707006991,0.8845509876162596
68,68,25,bagus,adj,13,1,0,-5.637051011869611,-1.0
69,69,25,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
70,70,26,malam,n,1,2,0,-2.4146585905331626,0.7262719406412579
71,71,26,jelek,adj,2,3,0,-2.5666616839782126,0.6448421702112386
72,72,27,sayang,adj,4,2,0,-3.4146585905331626,0.1905606693475812
73,73,27,rata,adj,5,2,0,-3.63705101186961,0.07142254258735381
74,74,28,hari,n,5,1,1,-2.1658781683796104,0.8595464168661149
75,75,29,sadis,adj,2,1,1,-2.4878062632669726,0.6870859078888547
76,76,29,kencang,adj,5,4,1,-2.7508406691007665,0.5461754119456561
77,77,30,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
78,78,30,mahal,adj,4,2,0,-3.4146585905331626,0.1905606693475812
79,79,31,bagus,adj,13,1,1,-2.0097589664623285,0.9431812329985763
80,80,32,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
81,81,32,stabil,adj,2,4,0,-2.4146585905331626,0.7262719406412579
82,82,32,mohon,v,2,1,0,-3.4146585905331626,0.1905606693475812
83,83,32,baik,adj,13,1,0,-5.637051011869611,-1.0
84,84,32,cepat,adj,10,4,0,-3.63705101186961,0.07142254258735381
85,85,33,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
86,86,33,banyak,adj,8,6,0,-3.052088511148454,0.3847935475078126
87,87,33,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
88,88,34,pangkal,n,1,3,0,-2.24473358909085,0.8173026791884992
89,89,34,jati,adj,3,2,0,-3.1516241846993687,0.3314711652907798
90,90,34,hancur,adj,1,4,0,-2.1516241846993687,0.8671824365844565
91,91,34,parah,adj,2,5,0,-2.315122916982248,0.7795943228582907
92,92,35,lancar,adj,3,3,1,-2.9028437625458166,0.4647456415156368
93,93,35,besok,n,1,2,1,-3.4878062632669726,0.15137463659517802
94,94,35,kerja,n,4,2,1,-2.4878062632669726,0.6870859078888547
95,95,36,buruk,adj,1,19,0,-1.903696671255783,1.0
96,96,36,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
97,97,36,parah,adj,2,5,0,-2.315122916982248,0.7795943228582907
98,98,37,murah,adj,3,5,1,-3.3178812618246605,0.2424053751424189
99,99,38,kencang,adj,5,4,1,-2.7508406691007665,0.5461754119456561
100,100,38,saat,n,2,2,1,-2.9028437625458166,0.4647456415156368
101,101,38,lelap,v,1,3,1,-3.9028437625458166,-0.07096562977804
102,102,38,tidur,v,1,2,1,-3.4878062632669726,0.15137463659517802
103,103,39,daerah,n,5,3,0,-3.24473358909085,0.2815914078948223
104,104,39,ganggu,v,1,4,0,-2.1516241846993687,0.8671824365844565
105,105,39,lambat,adj,1,4,0,-2.1516241846993687,0.8671824365844565
106,106,40,stabil,adj,2,4,1,-3.4878062632669726,0.15137463659517802
107,107,40,bukti,n,5,1,1,-2.1658781683796104,0.8595464168661149
108,108,41,hasil,n,4,3,1,-2.7101986846034207,0.5679477811286271
109,109,42,sahabat,n,6,1,1,-2.1252361838822647,0.8813187860490859
