,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
0,0,0,asyik,adj,5,2,1,-2.3918860593308198,0.7069483984668539
1,1,0,juara,n,2,1,1,-2.4914217328817343,0.6536260162498211
2,2,1,tinggal,v,3,2,0,-3.092780838470603,0.3314711652907798
3,3,1,daerah,n,5,3,0,-3.1858902428620843,0.2815914078948223
4,4,1,jelek,adj,2,3,0,-2.507818337749447,0.6448421702112386
5,5,1,suka,adj,4,2,0,-3.355815244304397,0.19056066934758098
6,6,1,hilang,v,1,11,0,-1.8963836256670996,0.9723946371339562
7,7,2,cepat,adj,10,4,1,-2.3918860593308198,0.7069483984668539
8,8,2,kilat,n,2,2,1,-2.906459232160578,0.4312857498766032
9,9,3,daerah,n,5,3,0,-3.1858902428620843,0.2815914078948223
10,10,3,lemah,adj,5,14,0,-2.2114253349692223,0.8036232425331831
11,11,3,mohon,v,2,1,0,-3.355815244304397,0.19056066934758098
12,12,4,boros,adj,1,2,1,-3.4914217328817343,0.11791474495614418
13,13,5,jelek,adj,2,3,0,-2.507818337749447,0.6448421702112386
14,14,5,bagus,adj,13,1,0,-5.578207665640845,-1.0
15,15,6,cerita,n,1,2,1,-3.4914217328817343,0.11791474495614418
16,16,7,ganggu,v,1,4,0,-2.092780838470603,0.8671824365844565
17,17,7,wilayah,n,4,2,0,-3.355815244304397,0.19056066934758098
18,18,8,drama,n,4,1,1,-2.2283873270479404,0.7945365121930197
19,19,9,tolong,v,6,1,0,-4.578207665640845,-0.4642887287063232
20,20,9,baik,adj,13,1,0,-5.578207665640845,-1.0
21,21,9,parah,adj,2,5,0,-2.2562795707534824,0.7795943228582907
22,22,11,buruk,adj,1,19,0,-1.8448533250270174,1.0
23,23,11,pas,n,2,1,0,-3.355815244304397,0.19056066934758098
24,24,11,mati,v,2,5,0,-2.2562795707534824,0.7795943228582907
25,25,11,lampu,n,6,3,0,-3.355815244304397,0.19056066934758098
26,26,12,keren,adj,2,1,1,-2.4914217328817343,0.6536260162498211
27,27,12,imbang,adj,2,1,1,-2.4914217328817343,0.6536260162498211
28,28,12,kuat,adj,18,9,1,-2.4914217328817343,0.6536260162498211
29,29,12,stabil,adj,2,4,1,-3.4914217328817343,0.11791474495614418
30,30,13,parah,adj,2,5,0,-2.2562795707534824,0.7795943228582907
31,31,14,ya,l,3,1,1,-2.3214967314394217,0.7446567547970622
32,32,14,tinggal,v,3,2,1,-2.6434248263267843,0.5721962458198018
33,33,14,percaya,v,6,2,1,-2.3214967314394217,0.7446567547970622
34,34,15,lambat,adj,1,4,0,-2.092780838470603,0.8671824365844565
35,35,16,aktif,adj,7,3,1,-2.4210324049903362,0.6913343725800294
36,36,17,wilayah,n,4,2,0,-3.355815244304397,0.19056066934758098
37,37,17,ya,l,3,1,0,-3.770852743583241,-0.03177959702563693
38,38,18,pergi,v,2,5,1,-3.7138141542181824,-0.0012233818040834343
39,39,18,kampung,n,1,2,1,-3.4914217328817343,0.11791474495614418
40,40,19,parah,adj,2,5,0,-2.2562795707534824,0.7795943228582907
41,41,19,main,v,4,1,0,-4.092780838470603,-0.20424010600289688
42,42,19,susah,adj,3,11,0,-2.1187760470035477,0.8532565103737286
43,43,20,lagu,n,3,1,1,-2.3214967314394217,0.7446567547970622
